Movie,Year
Star Wars: The Last Jedi,2017
Beauty and the Beast,2017
Wonder Woman,2017
Jumanji: Welcome to the Jungle,2017
Guardians of the Galaxy Vol. 2,2017
Spider-Man: Homecoming,2017
It,2017
Thor: Ragnarok,2017
Despicable Me 3,2017
Justice League,2017
Logan,2017
The Fate of the Furious,2017
Coco,2017
Dunkirk,2017
Get Out,2017
The LEGO Batman Movie,2017
The Boss Baby,2017
The Greatest Showman,2017
Pirates of the Caribbean: Dead Men Tell No Tales,2017
Kong: Skull Island,2017
Cars 3,2017
War for the Planet of the Apes,2017
Split,2017
Wonder,2017
Transformers: The Last Knight,2017
Girls Trip,2017
Fifty Shades Darker,2017
Baby Driver,2017
Pitch Perfect 3,2017
Daddy's Home 2,2017
Murder on the Orient Express,2017
Annabelle: Creation,2017
Kingsman: The Golden Circle,2017
Blade Runner 2049,2017
John Wick: Chapter Two,2017
The Emoji Movie,2017
Power Rangers,2017
Ferdinand,2017
The Post,2017
The Mummy,2017
The Hitman's Bodyguard,2017
Alien: Covenant,2017
Captain Underpants: The First Epic Movie,2017
A Bad Moms Christmas,2017
A Dog's Purpose,2017
The Shape of Water,2017
The LEGO Ninjago Movie,2017
Baywatch,2017
The Shack,2017
Darkest Hour,2017
Rogue One: A Star Wars Story,2016
Finding Dory,2016
Captain America: Civil War,2016
The Secret Life of Pets,2016
The Jungle Book,2016
Deadpool,2016
Zootopia,2016
Batman v Superman: Dawn of Justice,2016
Suicide Squad,2016
Sing,2016
Moana,2016
Fantastic Beasts and Where To Find Them,2016
Doctor Strange,2016
Hidden Figures,2016
Jason Bourne,2016
Star Trek Beyond,2016
X-Men: Apocalypse,2016
Trolls,2016
La La Land,2016
Kung Fu Panda 3,2016
Ghostbusters,2016
Central Intelligence,2016
The Legend of Tarzan,2016
Sully,2016
Bad Moms,2016
The Angry Birds Movie,2016
Independence Day: Resurgence,2016
The Conjuring 2,2016
Arrival,2016
Passengers,2016
Sausage Party,2016
The Magnificent Seven,2016
Ride Along 2,2016
Don't Breathe,2016
Miss Peregrine's Home for Peculiar Children,2016
The Accountant,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,2016
The Purge: Election Year,2016
Alice Through the Looking Glass,2016
Pete's Dragon,2016
The Girl on the Train,2016
Boo! A Madea Halloween,2016
Storks,2016
10 Cloverfield Lane,2016
Lights Out,2016
Hacksaw Ridge,2016
The Divergent Series: Allegiant,2016
Now You See Me 2,2016
Ice Age: Collision Course,2016
The Boss,2016
Star Wars: The Force Awakens,2015
Jurassic World,2015
Avengers: Age of Ultron,2015
Inside Out,2015
Furious 7,2015
Minions,2015
The Hunger Games: Mockingjay - Part 2,2015
The Martian,2015
Cinderella,2015
Spectre,2015
Mission: Impossible - Rogue Nation,2015
Pitch Perfect 2,2015
The Revenant,2015
Ant-Man,2015
Home,2015
Hotel Transylvania 2,2015
Fifty Shades of Grey,2015
The SpongeBob Movie: Sponge Out of Water,2015
Straight Outta Compton,2015
San Andreas,2015
Mad Max: Fury Road,2015
Daddy's Home,2015
The Divergent Series: Insurgent,2015
The Peanuts Movie,2015
Kingsman: The Secret Service,2015
The Good Dinosaur,2015
Spy,2015
Trainwreck,2015
Creed,2015
Tomorrowland,2015
Get Hard,2015
Terminator: Genisys,2015
Taken 3,2015
Sisters,2015
Alvin and the Chipmunks: The Road Chip,2015
Maze Runner: The Scorch Trials,2015
Ted 2,2015
Goosebumps,2015
Pixels,2015
Paddington,2015
The Intern,2015
Bridge of Spies,2015
Paul Blart: Mall Cop 2,2015
The Big Short,2015
War Room,2015
Magic Mike XXL,2015
The Visit,2015
The Wedding Ringer,2015
Black Mass,2015
Vacation,2015
American Sniper,2014
The Hunger Games: Mockingjay - Part 1,2014
Guardians of the Galaxy,2014
Captain America: The Winter Soldier,2014
The LEGO Movie,2014
The Hobbit: The Battle of the Five Armies,2014
Transformers: Age of Extinction,2014
Maleficent,2014
X-Men: Days of Future Past,2014
Big Hero 6,2014
Dawn of the Planet of the Apes,2014
The Amazing Spider-Man 2,2014
Godzilla,2014
22 Jump Street,2014
Teenage Mutant Ninja Turtles,2014
Interstellar,2014
How to Train Your Dragon 2,2014
Gone Girl,2014
Divergent,2014
Neighbors,2014
Ride Along,2014
Rio 2,2014
Into the Woods,2014
Lucy,2014
The Fault in our Stars,2014
Unbroken,2014
Night at the Museum: Secret of the Tomb,2014
Mr. Peabody & Sherman,2014
300: Rise of An Empire,2014
The Maze Runner,2014
The Equalizer,2014
Noah,2014
Edge of Tomorrow,2014
Non-Stop,2014
Heaven is for Real,2014
The Imitation Game,2014
Dumb and Dumber To,2014
Annie,2014
Fury,2014
Tammy,2014
Annabelle,2014
The Other Woman,2014
Penguins of Madagascar,2014
Let's Be Cops,2014
The Monuments Men,2014
Hercules,2014
The Purge: Anarchy,2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
Think Like a Man Too,2014
Exodus: Gods and Kings,2014
The Hunger Games: Catching Fire,2013
Iron Man 3,2013
Frozen,2013
Despicable Me 2,2013
Man of Steel,2013
Gravity,2013
Monsters University,2013
The Hobbit: The Desolation of Smaug,2013
Fast & Furious 6,2013
Oz The Great and Powerful,2013
Star Trek Into Darkness,2013
Thor: The Dark World,2013
World War Z,2013
The Croods,2013
The Heat,2013
We're the Millers,2013
American Hustle,2013
The Great Gatsby,2013
The Conjuring,2013
Identity Thief,2013
Grown Ups 2,2013
The Wolverine,2013
Anchorman 2: The Legend Continues,2013
Lone Survivor,2013
G.I. Joe: Retaliation,2013
Cloudy with a Chance of Meatballs 2,2013
Now You See Me,2013
The Wolf of Wall Street,2013
Lee Daniels' The Butler,2013
The Hangover Part III,2013
Epic,2013
Captain Phillips,2013
Jackass Presents: Bad Grandpa,2013
Pacific Rim,2013
This is the End,2013
Olympus Has Fallen,2013
42,2013
Elysium,2013
Planes,2013
The Lone Ranger,2013
Oblivion,2013
Insidious Chapter 2,2013
Saving Mr. Banks,2013
Turbo,2013
2 Guns,2013
White House Down,2013
Mama,2013
Safe Haven,2013
The Smurfs 2,2013
The Best Man Holiday,2013
Marvel's The Avengers,2012
The Dark Knight Rises,2012
The Hunger Games,2012
Skyfall,2012
The Hobbit: An Unexpected Journey,2012
The Twilight Saga: Breaking Dawn Part 2,2012
The Amazing Spider-Man,2012
Brave,2012
Ted,2012
Madagascar 3: Europe's Most Wanted,2012
Dr. Seuss' The Lorax,2012
Wreck-It Ralph,2012
Lincoln,2012
MIB 3,2012
Django Unchained,2012
Ice Age: Continental Drift,2012
Snow White and the Huntsman,2012
Les Miserables,2012
Hotel Transylvania,2012
Taken 2,2012
21 Jump Street,2012
Argo,2012
Silver Linings Playbook,2012
Prometheus,2012
Safe House,2012
The Vow,2012
Life of Pi,2012
Magic Mike,2012
The Bourne Legacy,2012
Journey 2: The Mysterious Island,2012
Rise of the Guardians,2012
Zero Dark Thirty,2012
Flight,2012
Think Like a Man,2012
The Campaign,2012
The Expendables 2,2012
Wrath of the Titans,2012
Jack Reacher,2012
Dark Shadows,2012
Parental Guidance,2012
John Carter,2012
Act of Valor,2012
This Is 40,2012
Contraband,2012
Looper,2012
Tyler Perry's Madea's Witness Protection,2012
Battleship,2012
Pitch Perfect,2012
Mirror Mirror,2012
Chronicle,2012
Harry Potter and the Deathly Hallows Part 2,2011
Transformers: Dark of the Moon,2011
The Twilight Saga: Breaking Dawn Part 1,2011
The Hangover Part II,2011
Pirates of the Caribbean: On Stranger Tides,2011
Fast Five,2011
Mission: Impossible - Ghost Protocol,2011
Cars 2,2011
Sherlock Holmes: A Game of Shadows,2011
Thor,2011
Rise of the Planet of the Apes,2011
Captain America: The First Avenger,2011
The Help,2011
Bridesmaids,2011
Kung Fu Panda 2,2011
Puss in Boots,2011
X-Men: First Class,2011
Rio,2011
The Smurfs,2011
Alvin and the Chipmunks: Chipwrecked,2011
Super 8,2011
Rango,2011
Horrible Bosses,2011
Green Lantern,2011
Hop,2011
Paranormal Activity 3,2011
Just Go With It,2011
The Girl with the Dragon Tattoo,2011
Bad Teacher,2011
Cowboys & Aliens,2011
Gnomeo and Juliet,2011
The Green Hornet,2011
The Lion King (in 3D),2011
The Muppets,2011
Real Steel,2011
"Crazy, Stupid, Love.",2011
Battle: Los Angeles,2011
Immortals,2011
The Descendants,2011
Zookeeper,2011
War Horse,2011
Limitless,2011
Tower Heist,2011
The Adventures of Tintin,2011
Contagion,2011
We Bought a Zoo,2011
Moneyball,2011
Jack and Jill,2011
Hugo,2011
Justin Bieber: Never Say Never,2011
Toy Story 3,2010
Alice in Wonderland,2010
Iron Man 2,2010
The Twilight Saga: Eclipse,2010
Harry Potter and the Deathly Hallows Part 1,2010
Inception,2010
Despicable Me,2010
Shrek Forever After,2010
How to Train Your Dragon,2010
Tangled,2010
The Karate Kid,2010
Tron Legacy,2010
True Grit,2010
Clash of the Titans,2010
Grown Ups,2010
Little Fockers,2010
Megamind,2010
The King's Speech,2010
The Last Airbender,2010
Shutter Island,2010
The Other Guys,2010
Salt,2010
Jackass 3-D,2010
Valentine's Day,2010
Black Swan,2010
Robin Hood,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
The Expendables,2010
Due Date,2010
Yogi Bear,2010
Date Night,2010
The Social Network,2010
Sex and the City 2,2010
The Book of Eli,2010
The Fighter,2010
The Town,2010
Prince of Persia: The Sands of Time,2010
Red,2010
Percy Jackson & The Olympians: The Lightning Thief,2010
Paranormal Activity 2,2010
Unstoppable,2010
Eat Pray Love,2010
Dear John,2010
The A-Team,2010
Knight & Day,2010
Dinner for Schmucks,2010
The Tourist,2010
The Bounty Hunter,2010
Diary of a Wimpy Kid,2010
The Sorcerer's Apprentice,2010
Avatar,2009
Transformers: Revenge of the Fallen,2009
Harry Potter and the Half-Blood Prince,2009
The Twilight Saga: New Moon,2009
Up,2009
The Hangover,2009
Star Trek,2009
The Blind Side,2009
Alvin and the Chipmunks: The Squeakquel,2009
Sherlock Holmes,2009
Monsters Vs. Aliens,2009
Ice Age: Dawn of the Dinosaurs,2009
X-Men Origins: Wolverine,2009
Night at the Museum: Battle of the Smithsonian,2009
2012,2009
The Proposal,2009
Fast and Furious,2009
G.I. Joe: The Rise of Cobra,2009
Paul Blart: Mall Cop,2009
Taken,2009
A Christmas Carol,2009
Angels & Demons,2009
Terminator Salvation,2009
Cloudy with a Chance of Meatballs,2009
Inglourious Basterds,2009
G-Force,2009
District 9,2009
It's Complicated,2009
Couples Retreat,2009
Paranormal Activity,2009
Watchmen,2009
The Princess and the Frog,2009
Public Enemies,2009
Julie & Julia,2009
He's Just Not That Into You,2009
Tyler Perry's Madea Goes to Jail,2009
The Ugly Truth,2009
Up in the Air,2009
Knowing,2009
Hannah Montana The Movie,2009
Where the Wild Things Are,2009
Zombieland,2009
Coraline,2009
Law Abiding Citizen,2009
Hotel for Dogs,2009
Michael Jackson's This Is It,2009
"I Love You, Man",2009
Obsessed,2009
Race to Witch Mountain,2009
The Final Destination,2009
The Dark Knight,2008
Iron Man,2008
Indiana Jones and the Kingdom of the Crystal Skull,2008
Hancock,2008
WALL-E,2008
Kung Fu Panda,2008
Twilight,2008
Madagascar: Escape 2 Africa,2008
Quantum of Solace,2008
Dr. Seuss' Horton Hears a Who!,2008
Sex and the City,2008
Gran Torino,2008
Mamma Mia!,2008
Marley and Me,2008
The Chronicles of Narnia: Prince Caspian,2008
Slumdog Millionaire,2008
The Incredible Hulk,2008
Wanted,2008
Get Smart,2008
The Curious Case of Benjamin Button,2008
Four Christmases,2008
Bolt,2008
Tropic Thunder,2008
Bedtime Stories,2008
The Mummy: Tomb of the Dragon Emperor,2008
Journey to the Center of the Earth,2008
Eagle Eye,2008
Step Brothers,2008
You Don't Mess with the Zohan,2008
Yes Man,2008
"10,000 B.C.",2008
Beverly Hills Chihuahua,2008
High School Musical 3: Senior Year,2008
Pineapple Express,2008
Valkyrie,2008
21,2008
What Happens in Vegas,2008
Jumper,2008
Cloverfield,2008
The Day the Earth Stood Still,2008
27 Dresses,2008
Hellboy II: The Golden Army,2008
Vantage Point,2008
The Spiderwick Chronicles,2008
Fool's Gold,2008
Seven Pounds,2008
Role Models,2008
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,2008
The Happening,2008
Forgetting Sarah Marshall,2008
